Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
Ecuador,71,"283,561",593.0,Quito,"$107,435,665,000 ",Spanish,"17,373,662","11,116,711",-1.831239,-78.183406
Egypt,103,"1,001,450",20.0,Cairo,"$303,175,127,598 ",Modern Standard Arabic,"100,388,073","42,895,824",26.820553,30.802498
El Salvador,313,"21,041",503.0,San Salvador,"$27,022,640,000 ",Spanish,"6,453,553","4,694,702",13.794185,-88.89653
Equatorial Guinea,50,"28,051",240.0,Malabo,"$11,026,774,945 ",Spanish,"1,355,986","984,812",1.650801,10.267895
Eritrea,35,"117,600",291.0,Asmara,"$2,065,001,626 ",Tigrinya,"6,333,135","1,149,670",15.179384,39.782334
Estonia,31,"45,228",372.0,Tallinn,"$31,386,949,981 ",Estonian,"1,331,824","916,024",58.595272,25.013607
Eswatini,67,"17,364",268.0,Mbabane,"$3,791,304,348 ",English,"1,093,238",,-26.522503,31.465866
Ethiopia,115,"1,104,300",251.0,Addis Ababa,"$96,107,662,398 ",Amharic,"112,078,730","23,788,710",9.145,40.489673
Fiji,49,"18,274",679.0,Suva,"$5,535,548,972 ",Fiji Hindi,"889,953","505,048",-17.713371,178.065032
Finland,18,"338,145",358.0,Helsinki,"$268,761,201,365 ",Swedish,"5,520,314","4,716,888",61.92411,25.748151
France,119,"643,801",33.0,Paris,"$2,715,518,274,227 ",French,"67,059,887","54,123,364",46.227638,2.213749
Gabon,9,"267,667",241.0,Libreville,"$16,657,960,228 ",French,"2,172,579","1,949,694",-0.803689,11.609444
The Gambia,239,"11,300",220.0,Banjul,"$1,763,819,048 ",English,"2,347,706","1,453,958",13.443182,-15.310139
Georgia,57,"69,700",995.0,Tbilisi,"$17,743,195,770 ",Georgian,"3,720,382","2,196,476",42.315407,43.356892
Germany,240,"357,022",49.0,Berlin,"$3,845,630,030,824 ",German,"83,132,799","64,324,835",51.165691,10.451526
Ghana,137,"238,533",233.0,Accra,"$66,983,634,224 ",English,"30,792,608","17,249,054",7.946527,-1.023194
Greece,81,"131,957",30.0,Athens,"$209,852,761,469 ",Greek,"10,716,322","8,507,474",39.074208,21.824312
Grenada,331,349,1.0,"St. George's, Grenada","$1,228,170,370 ",English,"112,003","40,765",12.1165,-61.679
Guatemala,167,"108,889",502.0,Guatemala City,"$76,710,385,880 ",Spanish,"16,604,026","8,540,945",15.783471,-90.230759
Guinea,53,"245,857",224.0,Conakry,"$13,590,281,809 ",French,"12,771,246","4,661,505",9.945587,-9.696645
Guinea-Bissau,70,"36,125",245.0,Bissau,"$1,340,389,411 ",Portuguese,"1,920,922","840,922",11.803749,-15.180413
Guyana,4,"214,969",592.0,"Georgetown, Guyana","$4,280,443,645 ",English,"782,766","208,912",4.860416,-58.93018
